Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,P_rx (dBm),Comments
P-23,9.8645,0,0,0,3,0,0,-55,
Q-23,10.3194,0,0,0,3,0,0,-63,
R-23,10.9244,0,0,0,1,1,0,-61,
S-23,11.6562,0,0,1,0,0,0,-65,
L-24,11.1736,1,1,0,1,0,0,-66,
M-24,10.9244,2,0,0,1,0,0,-68,
N-24,10.8400,1,0,0,1,0,0,-78,
Q-24,11.5771,0,0,0,3,0,0,-59,
R-24,12.1195,0,0,0,3,0,0,-60,
M-25,12.2700,2,0,0,1,0,0,-70,
N-25,12.1950,1,0,0,1,0,0,-77,
O-25,12.2700,0,0,0,2,0,0,-79,
M-26,13.6176,2,0,0,1,0,0,-75,
N-26,13.5500,1,0,0,1,0,0,-76,
O-26,13.6176,0,0,0,2,0,0,-78,
N-27,14.9050,1,0,0,1,0,0,-82,
,,,,,,,,,
