Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
H-31,3.804763462,1,0,0,0,0,-64,
J-31,5.520527602,1,1,0,0,0,-72,
L-31,7.380801108,1,2,0,0,0,-81,
M-31,8.335239949,1,2,0,0,0,-84,
A-32,5.14550532,1,0,0,0,0,-68,Receiver reference at  -30 dBm
B-32,4.413187623,1,0,0,0,0,-67,Receiver reference at  -30 dBm
C-32,3.804763462,1,0,0,0,0,-64,Receiver reference at  -30 dBm
D-32,3.387657745,1,0,0,0,0,-66,
E-32,3.236699708,1,0,0,0,0,-65,
F-32,3.387657745,2,0,0,0,0,-68,
G-32,3.804763462,2,0,0,0,0,-72,
H-32,4.413187623,2,0,0,0,0,-73,
J-32,5.956192156,2,0,0,0,0,-79,
M-32,8.629960892,1,2,0,0,0,-86,
C-33,4.634244814,1,0,0,0,0,-61,
D-33,4.298397957,1,0,0,0,0,-76,
E-33,4.180457511,1,0,0,0,0,-74,
F-33,4.298397957,2,0,0,0,0,-65,
G-33,4.634244814,2,0,0,0,0,-69,
H-33,5.14550532,2,0,0,0,0,-72,
J-33,6.517378691,3,0,0,0,0,-73,
K-33,7.312744013,2,0,0,0,0,-72,
L-33,8.153295346,1,2,0,0,0,-89,
M-33,9.026418171,1,2,0,0,0,-84,
N-33,9.923518781,2,1,0,0,0,-78,
A-34,6.517378691,2,0,0,0,0,-74,
B-34,5.956192156,1,1,0,0,0,-74,
C-34,5.520527602,2,0,0,0,0,-70,
D-34,5.241776893,2,0,0,0,0,-76,
E-34,5.14550532,2,0,0,0,0,-84,
F-34,5.241776893,1,0,0,0,0,-83,
G-34,5.520527602,2,0,0,0,0,-76,
H-34,5.956192156,2,0,0,0,0,-68,
I-34,6.517378691,3,1,0,0,0,-72,
J-34,7.174693373,3,1,0,0,0,-69,
K-34,7.904190344,3,1,0,0,0,-72,
A-35,7.312744013,1,1,0,0,0,-70,
B-35,6.817347358,2,0,0,0,0,-68,
C-35,6.440203801,2,0,0,0,0,-67,
D-35,6.202920683,2,0,0,0,0,-79,
E-35,6.121782829,2,0,0,0,0,-78,
F-35,6.202920683,1,0,0,0,0,-86,
G-35,6.440203801,2,0,0,0,0,-81,
H-35,6.817347358,2,0,0,0,0,-69,
I-35,7.312744013,2,1,0,0,0,-79,
J-35,7.904190344,3,1,1,0,0,-78,
K-35,8.571827401,3,1,1,0,0,-74,
L-35,9.299259379,3,1,1,0,0,-80,
M-35,10.07354084,3,1,1,0,0,-81,
N-35,10.88467845,3,1,1,0,0,-90,
O-35,11.72502559,1,2,1,0,0,-82,
P-35,12.58873405,1,2,1,0,0,-84,
A-36,8.153295346,1,1,0,0,0,-76,
B-36,7.712083052,2,0,0,0,0,-73,
C-36,7.380801108,2,0,0,0,0,70,
D-36,7.174693373,2,0,0,0,0,-77,
E-36,7.104662202,2,0,0,0,0,-74,
F-36,7.174693373,3,0,0,0,0,-76,
G-36,7.380801108,2,0,0,0,0,-87,
H-36,7.712083052,2,0,0,0,0,-70,
I-36,8.153295346,3,0,0,0,0,-83,Close to position
J-36,8.687705393,2,0,0,0,0,-76,
K-36,9.299259379,3,1,1,0,0,-72,
L-36,9.973776867,3,1,1,0,0,-84,
M-36,10.69935629,3,1,1,0,0,-81,
N-36,11.46630826,3,1,1,0,0,-76,
O-36,12.26687511,1,2,1,0,0,-83,
A-37,9.026418171,3,0,0,0,0,-79,
B-37,8.629960892,3,0,0,0,0,-72,
D-37,8.153295346,3,0,0,0,0,-76,
E-37,8.09173807,3,0,0,0,0,-78,
F-37,8.153295346,3,0,0,0,0,-81,
G-37,8.335239949,2,0,0,0,0,-78,
H-37,8.629960892,2,0,0,0,0,-68,
K-37,10.07354084,2,0,0,0,0,-85,
L-37,10.69935629,3,1,1,0,0,-80,
M-37,11.37876202,3,1,1,0,0,-87,
N-37,12.10273626,3,1,1,0,0,-85,
O-37,12.86375626,3,1,1,0,0,-82,
P-37,13.65562979,2,1,1,0,0,-82,
A-38,9.923518781,3,0,0,0,0,-80,
B-38,9.564320415,3,0,0,0,0,-80,
C-38,9.299259379,3,0,0,0,0,-75,
D-38,9.136532439,3,0,0,0,0,-82,
E-38,9.081642197,3,0,0,0,0,-78,
F-38,9.136532439,3,0,0,0,0,-74,
G-38,9.299259379,2,0,0,0,0,-71,
H-38,9.564320415,2,0,0,0,0,-71,
I-38,9.923518781,4,0,0,0,0,-87,
J-38,10.36707408,4,0,0,0,0,-89,
K-38,10.88467845,4,0,0,0,0,-89,
L-38,11.46630826,3,2,0,0,0,-85,
M-38,12.10273626,4,1,1,0,0,-94,
N-38,12.78578214,4,1,1,0,0,-93,
O-38,13.50837611,4,1,1,0,0,-96,
A-39,10.83864498,3,0,0,0,0,-85,
B-39,10.5107671,3,0,0,0,0,-80,
C-39,10.27016188,3,0,0,0,0,-75,
D-39,10.12305413,3,0,0,0,0,-78,
E-39,10.07354084,3,0,0,0,0,-80,
F-39,10.12305413,3,0,0,0,0,-81,
G-39,10.27016188,2,0,0,0,0,-75,
H-39,10.5107671,2,0,0,0,0,-84,
I-39,10.83864498,4,0,0,0,0,-78,
J-39,11.2461649,4,0,0,0,0,-85,
K-39,11.72502559,4,0,0,0,0,-97,
L-39,12.26687511,3,2,0,0,0,-86,
M-39,12.86375626,3,2,0,0,0,-96,
N-39,13.50837611,4,1,1,0,0,-108,
O-39,14.1942321,4,1,1,0,0,-93,
P-39,14.91563693,4,1,1,0,0,-88,
A-40,11.76759215,3,0,0,0,0,-85,
B-40,11.46630826,3,0,0,0,0,-76,
C-40,11.2461649,3,0,0,0,0,-90,
D-40,11.11198565,3,0,0,0,0,-87,
E-40,11.06689771,3,0,0,0,0,-88,
F-40,11.11198565,3,0,0,0,0,-82,
G-40,11.2461649,1,0,0,0,0,-80,
H-40,11.46630826,2,0,0,0,0,-79,
I-40,11.76759215,3,0,0,0,0,-97,
J-40,12.14397896,4,0,0,0,0,-98,
K-40,12.58873405,4,0,0,0,0,-88,
L-40,13.09489309,2,2,0,0,0,-90,
M-40,13.65562979,2,2,0,0,0,-87,
N-40,14.26450928,4,1,1,0,0,-90,
O-40,14.91563693,4,1,1,0,0,-95,
P-40,15.60372472,4,1,1,0,0,-90,
A-41,12.70732958,4,0,0,0,0,-86,
B-41,12.42884649,4,0,0,0,0,-84,
C-41,12.22604699,4,0,0,0,0,-88,
D-41,12.10273626,4,0,0,0,0,-94,
E-41,12.06135254,4,0,0,0,0,-85,
F-41,12.10273626,3,0,0,0,0,-78,
G-41,12.22604699,3,0,0,0,0,-74,
H-41,12.42884649,2,0,0,0,0,-75,
J-41,13.05665443,4,0,0,0,0,-91,
K-41,13.47131118,4,0,0,0,0,-90,
L-41,13.94547328,4,0,0,0,0,-92,
M-41,14.47329351,3,2,0,0,0,-95,
N-41,15.04912705,3,2,0,0,0,-93,
O-41,15.66768091,4,1,1,0,0,-99,
P-41,16.32409952,4,1,1,0,0,-96,
A-42,13.65562979,4,0,0,0,0,-88,
B-42,13.3968737,4,0,0,0,0,-100,
C-42,13.20894489,4,0,0,0,0,-97,
D-42,13.09489309,4,0,0,0,0,-96,
E-42,13.05665443,4,0,0,0,0,-93,
F-42,13.09489309,4,0,0,0,0,-79,
G-42,13.20894489,1,0,0,0,0,-79,
H-42,13.3968737,1,0,0,0,0,-76,
J-42,13.98128124,4,0,0,0,0,-97,
K-42,14.3692806,4,0,0,0,0,-88,
L-42,14.81473,4,0,0,0,0,-99,
M-42,15.31261653,4,0,0,0,0,-100,
N-42,15.85800192,3,2,0,0,0,-92,
O-42,16.44616141,3,2,0,0,0,-102,
P-42,17.07267481,4,1,1,0,0,-94,
A-43,14.61082561,4,0,0,0,0,-90,
B-43,14.3692806,4,0,0,0,0,-82,
C-43,14.1942321,4,0,0,0,0,-88,
D-43,14.08815904,4,0,0,0,0,-88,
E-43,14.05262342,4,0,0,0,0,-95,
F-43,14.08815904,4,0,0,0,0,-78,
