Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,PL (dB),Comments
G-25,4.472135955,1,0,0,0,0,81,
H-25,5,1,0,0,0,0,80,
J-25,6.403124237,2,0,0,0,0,80,
K-25,7.211102551,3,0,0,0,0,97,
L-25,8.062257748,3,0,0,0,0,83,
M-25,8.94427191,3,0,0,0,0,87,
N-25,9.848857802,2,0,0,0,0,84,
O-25,10.77032961,2,0,0,0,0,85,
P-25,11.70469991,2,0,0,0,0,91,
F-26,3.16227766,1,0,0,0,0,74,
G-26,3.605551275,1,0,0,0,0,68,
H-26,4.242640687,1,0,0,0,0,68,
K-26,6.708203932,3,0,0,0,0,85,
L-26,7.615773106,3,0,0,0,0,92,
O-26,10.44030651,2,1,0,0,0,95,
P-26,11.40175425,2,1,0,0,0,92,
A-27,4.472135955,0,0,0,0,0,67,
B-27,3.605551275,0,0,0,0,0,63,
C-27,2.828427125,0,0,0,0,0,68,
D-27,2.236067977,0,0,0,0,0,60,
E-27,2,0,0,0,0,0,57,
F-27,2.236067977,1,0,0,0,0,76,
G-27,2.828427125,1,0,0,0,0,77,
H-27,3.605551275,1,0,0,0,0,70,
I-27,4.472135955,2,0,0,0,0,75,
J-27,5.385164807,1,1,0,0,0,72,
L-27,7.280109889,1,1,0,0,0,76,
M-27,8.246211251,0,1,0,0,0,76,
N-27,9.219544457,0,1,1,0,0,82,
O-27,10.19803903,0,1,1,0,0,78,
A-28,4.123105626,0,0,0,0,0,66,
B-28,3.16227766,0,0,0,0,0,61,
C-28,2.236067977,0,0,0,0,0,65,
D-28,1.414213562,0,0,0,0,0,56,
E-28,1,0,0,0,0,0,53,
F-28,1.414213562,1,0,0,0,0,57,
G-28,2.236067977,1,0,0,0,0,62,
H-28,3.16227766,0,1,0,0,0,71,
J-28,5.099019514,1,0,0,0,0,67,
K-28,6.08276253,1,0,0,0,0,79,
L-28,7.071067812,1,0,0,0,0,82,
M-28,8.062257748,1,0,0,0,0,76,
N-28,9.055385138,0,1,0,0,0,78,
O-28,10.04987562,0,1,0,0,0,82,
A-29,4,0,0,0,0,0,67,
B-29,3,0,0,0,0,0,68,
C-29,2,0,0,0,0,0,59,
D-29,1,0,0,0,0,0,51,
F-29,1,0,1,0,0,0,53,
G-29,2,0,1,0,0,0,56,
H-29,3,0,1,0,0,0,73,
I-29,4,1,1,0,0,0,68,
J-29,5,1,1,0,0,0,76,
K-29,6,1,1,0,0,0,75,
L-29,7,1,1,0,0,0,84,
M-29,8,1,1,0,0,0,78,
A-30,4.123105626,1,0,0,0,0,75,
B-30,3.16227766,1,0,0,0,0,71,
C-30,2.236067977,1,0,0,0,0,68,
D-30,1.414213562,1,0,0,0,0,69,
E-30,1,1,0,0,0,0,69,
F-30,1.414213562,2,0,0,0,0,68,
G-30,2.236067977,0,1,0,0,0,62,
H-30,3.16227766,0,1,0,0,0,85,
J-30,5.099019514,1,1,0,0,0,72,
K-30,6.08276253,2,1,0,0,0,78,
L-30,7.071067812,1,2,0,0,0,94,
M-30,8.062257748,1,2,0,0,0,96,
A-31,4.472135955,1,0,0,0,0,68,
B-31,3.605551275,1,0,0,0,0,74,
C-31,2.828427125,1,0,0,0,0,68,
D-31,2.236067977,1,0,0,0,0,65,
E-31,2,1,0,0,0,0,69,
F-31,2.236067977,2,0,0,0,0,70,
G-31,2.828427125,2,0,0,0,0,75,
H-31,3.605551275,1,0,0,0,0,65,
J-31,5.385164807,1,1,0,0,0,72,
K-31,6.32455532,1,1,0,0,0,75,
L-31,7.280109889,1,2,0,0,0,85,
M-31,8.246211251,1,2,0,0,0,86,
A-32,5,1,0,0,0,0,70,
B-32,4.242640687,1,0,0,0,0,67,
C-32,3.605551275,1,0,0,0,0,63,
D-32,3.16227766,1,0,0,0,0,72,
E-32,3,1,0,0,0,0,70,
F-32,3.16227766,2,0,0,0,0,74,
G-32,3.605551275,2,0,0,0,0,73,
H-32,4.242640687,2,0,0,0,0,71,
J-32,5.830951895,2,0,0,0,0,83,
K-32,6.708203932,2,0,0,0,0,84,
L-32,7.615773106,1,2,0,0,0,100,
M-32,8.544003745,1,2,0,0,0,86,
C-33,4.472135955,1,0,0,0,0,70,
D-33,4.123105626,1,0,0,0,0,79,
E-33,4,1,0,0,0,0,80,
F-33,4.123105626,2,0,0,0,0,82,
G-33,4.472135955,2,0,0,0,0,75,
H-33,5,2,0,0,0,0,73,
J-33,6.403124237,3,0,0,0,0,86,
K-33,7.211102551,2,0,0,0,0,82,
L-33,8.062257748,1,2,0,0,0,83,
M-33,8.94427191,1,2,0,0,0,85,
A-34,6.403124237,2,0,0,0,0,83,
B-34,5.830951895,1,1,0,0,0,82,
C-34,5.385164807,2,0,0,0,0,83,
D-34,5.099019514,2,0,0,0,0,74,
E-34,5,2,0,0,0,0,80,
F-34,5.099019514,1,0,0,0,0,91,
G-34,5.385164807,2,0,0,0,0,78,
H-34,5.830951895,2,0,0,0,0,76,
I-34,6.403124237,3,1,0,0,0,80,
J-34,7.071067812,3,1,0,0,0,83,
K-34,7.810249676,3,1,0,0,0,85,
L-34,8.602325267,3,1,0,0,0,85,
A-35,7.211102551,1,1,0,0,0,95,
B-35,6.708203932,2,0,0,0,0,89,
C-35,6.32455532,2,0,0,0,0,85,
D-35,6.08276253,2,0,0,0,0,92,
E-35,6,2,0,0,0,0,81,
F-35,6.08276253,1,0,0,0,0,80,
G-35,6.32455532,2,0,0,0,0,78,
H-35,6.708203932,2,0,0,0,0,78,
I-35,7.211102551,2,1,0,0,0,81,
J-35,7.810249676,3,1,1,0,0,85,
K-35,8.485281374,3,1,1,0,0,82,
L-35,9.219544457,3,1,1,0,0,84,
M-35,10,3,1,1,0,0,87,
N-35,10.81665383,3,1,1,0,0,87,
O-35,11.66190379,1,2,1,0,0,95,
P-35,12.52996409,1,2,1,0,0,101,
A-36,8.062257748,1,1,0,0,0,79,
B-36,7.615773106,2,0,0,0,0,87,
C-36,7.280109889,2,0,0,0,0,75,
D-36,7.071067812,2,0,0,0,0,82,
E-36,7,2,0,0,0,0,90,
F-36,7.071067812,3,0,0,0,0,87,
G-36,7.280109889,2,0,0,0,0,85,
H-36,7.615773106,2,0,0,0,0,79,
I-36,8.062257748,3,0,0,0,0,103,
J-36,8.602325267,2,0,0,0,0,93,
K-36,9.219544457,3,1,1,0,0,86,
L-36,9.899494937,3,1,1,0,0,91,
M-36,10.63014581,3,1,1,0,0,87,
N-36,11.40175425,3,1,1,0,0,94,
O-36,12.20655562,1,2,1,0,0,91,
A-37,8.94427191,3,0,0,0,0,89,
B-37,8.544003745,3,0,0,0,0,86,
D-37,8.062257748,3,0,0,0,0,92,
E-37,8,3,0,0,0,0,97,
F-37,8.062257748,3,0,0,0,0,87,
G-37,8.246211251,2,0,0,0,0,81,
H-37,8.544003745,2,0,0,0,0,83,
K-37,10,2,0,0,0,0,95,
L-37,10.63014581,3,1,1,0,0,91,
M-37,11.3137085,3,1,1,0,0,91,
N-37,12.04159458,3,1,1,0,0,85,
O-37,12.80624847,3,1,1,0,0,90,
P-37,13.60147051,2,1,1,0,0,91,
A-38,9.848857802,3,0,0,0,0,84,
B-38,9.486832981,3,0,0,0,0,78,
C-38,9.219544457,3,0,0,0,0,90,
D-38,9.055385138,3,0,0,0,0,92,
