Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,PL (dB),Comments
W-15,12.2700,0,0,0,2,0,0,69,
B-16,16.2600,1,0,0,1,0,0,80,
C-16,14.9050,1,0,0,1,0,0,75,
D-16,13.5500,1,0,0,1,0,0,79,
E-16,12.1950,1,0,0,1,0,0,73,
F-16,10.8400,1,0,0,1,0,0,87,
G-16,9.4850,1,0,0,1,0,0,80,
I-16,6.7750,1,0,0,1,0,0,80,
L-16,2.7100,0,0,0,1,0,0,67,Receiver reference at  -30 dBm
O-16,1.3550,0,0,0,0,0,0,53,Receiver reference at  -30 dBm
P-16,2.7100,0,0,0,1,0,0,58,Receiver reference at  -30 dBm
Q-16,4.0650,0,0,0,1,0,0,65,Receiver reference at  -30 dBm
R-16,5.4200,0,0,0,2,0,0,73,
S-16,6.7750,0,0,0,2,0,0,66,
T-16,8.1300,0,0,0,3,0,0,69,Receiver reference at  -30 dBm
U-16,9.4850,0,0,0,3,0,0,70,Receiver reference at  -30 dBm
V-16,10.8400,0,0,0,3,0,0,74,
W-16,12.1950,0,0,0,3,0,0,73,
M-17,1.9163,0,0,0,1,0,0,58,Receiver reference at  -30 dBm
N-17,1.3550,0,0,0,0,0,0,60,Receiver reference at  -30 dBm
O-17,1.9163,0,0,0,0,0,0,57,Receiver reference at  -30 dBm
P-17,3.0299,0,0,0,1,0,0,67,Receiver reference at  -30 dBm
Q-17,4.2849,0,0,0,1,0,0,62,Receiver reference at  -30 dBm
R-17,5.5868,0,0,0,1,0,0,66,Receiver reference at  -30 dBm
S-17,6.9092,0,0,0,2,0,0,70,Receiver reference at  -30 dBm
T-17,8.2421,0,0,1,2,0,0,73,
U-17,9.5813,0,0,1,2,0,0,74,
V-17,10.9244,0,0,1,2,0,0,78,
X-17,13.6176,0,0,1,3,0,0,72,
M-18,3.0299,0,0,0,1,0,0,67,Receiver reference at  -30 dBm
N-18,2.7100,0,0,0,0,0,0,54,Receiver reference at  -30 dBm
O-18,3.0299,0,0,0,0,0,0,60,Receiver reference at  -30 dBm
P-18,3.8325,0,0,0,0,0,0,64,Receiver reference at  -30 dBm
Q-18,4.8855,0,0,0,1,0,0,66,Receiver reference at  -30 dBm
R-18,6.0597,0,0,0,1,0,0,69,
S-18,7.2969,0,0,0,1,0,0,66,
T-18,8.5698,0,1,0,1,0,0,76,
U-18,9.8645,0,0,0,4,0,0,86,
V-18,11.1736,0,0,0,4,0,0,77,
W-18,12.4925,0,0,0,4,0,0,79,
X-18,13.8183,0,0,0,4,0,0,69,
Y-18,15.1494,0,0,0,4,0,0,74,
M-19,4.2849,0,0,0,1,0,0,76,Receiver reference at  -30 dBm
N-19,4.0650,0,0,0,1,0,0,60,Receiver reference at  -30 dBm
O-19,4.2849,0,0,0,0,0,0,55,Receiver reference at  -30 dBm
P-19,4.8855,0,0,0,0,0,0,68,Receiver reference at  -30 dBm
Q-19,5.7488,0,0,0,2,0,0,79,Receiver reference at  -30 dBm
R-19,6.7750,0,0,0,2,0,0,75,
S-19,7.9009,0,0,0,2,0,0,71,
T-19,9.0896,0,0,0,2,0,0,73,
U-19,10.3194,0,0,0,2,0,0,74,
V-19,11.5771,0,1,0,1,0,0,71,
W-19,12.8547,0,1,0,1,0,0,73,
X-19,14.1466,0,1,0,2,0,0,80,
Y-19,15.4494,0,1,0,2,0,0,74,
N-20,5.4200,0,0,0,1,0,0,68,Receiver reference at  -30 dBm
O-20,5.5868,0,0,0,1,0,0,65,Receiver reference at  -30 dBm
Q-20,6.7750,0,0,1,0,0,0,66,
R-20,7.6650,0,0,1,1,0,0,76,
S-20,8.6762,0,0,0,3,0,0,70,
T-20,9.7710,0,0,0,2,0,0,82,
U-20,10.9244,0,0,0,3,0,0,75,
V-20,12.1195,0,0,0,3,0,0,73,
W-20,13.3452,0,0,0,2,0,0,72,
X-20,14.5938,0,0,0,2,0,0,78,
N-21,6.7750,0,0,0,1,0,0,70,Receiver reference at  -30 dBm
O-21,6.9092,0,0,0,1,0,0,65,Receiver reference at  -30 dBm
P-21,7.2969,0,0,0,3,0,0,72,
Q-21,7.9009,0,0,0,1,1,0,80,
R-21,8.6762,0,0,1,0,0,0,78,
S-21,9.5813,0,0,1,0,0,0,69,
V-21,12.7830,0,0,0,3,0,0,79,
M-22,8.2421,1,1,0,1,0,0,76,
O-22,8.2421,0,0,0,1,0,0,69,Receiver reference at  -30 dBm
P-22,8.5698,0,0,0,3,0,0,72,
Q-22,9.0896,0,0,0,3,0,0,72,
R-22,9.7710,0,0,1,0,0,0,70,
S-22,10.5829,0,0,1,0,0,0,67,
L-23,9.8645,1,1,0,1,0,0,83,
M-23,9.5813,2,0,0,1,0,0,80,
N-23,9.4850,0,0,0,1,0,0,84,
P-23,9.8645,0,0,0,3,0,0,65,
Q-23,10.3194,0,0,0,3,0,0,73,
R-23,10.9244,0,0,0,1,1,0,71,
S-23,11.6562,0,0,1,0,0,0,75,
L-24,11.1736,1,1,0,1,0,0,76,
M-24,10.9244,2,0,0,1,0,0,78,
N-24,10.8400,1,0,0,1,0,0,88,
Q-24,11.5771,0,0,0,3,0,0,69,
R-24,12.1195,0,0,0,3,0,0,70,
M-25,12.2700,2,0,0,1,0,0,80,
N-25,12.1950,1,0,0,1,0,0,87,
O-25,12.2700,0,0,0,2,0,0,89,
M-26,13.6176,2,0,0,1,0,0,85,
N-26,13.5500,1,0,0,1,0,0,86,
O-26,13.6176,0,0,0,2,0,0,88,
N-27,14.9050,1,0,0,1,0,0,92,
,,,,,,,,,
