Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
K-27,6.32455532,,,,0,0,NP,
L-27,7.280109889,1,1,0,0,0,-66,
M-27,8.246211251,0,1,0,0,0,-66,
N-27,9.219544457,0,1,1,0,0,-72,
O-27,10.19803903,0,1,1,0,0,-68,
P-27,11.18033989,,,,0,0,NP,
A-28,4.123105626,0,0,0,0,0,-56,
B-28,3.16227766,0,0,0,0,0,-51,
C-28,2.236067977,0,0,0,0,0,-55,
D-28,1.414213562,0,0,0,0,0,-46,
E-28,1,0,0,0,0,0,-43,
F-28,1.414213562,1,0,0,0,0,-47,
G-28,2.236067977,1,0,0,0,0,-52,
H-28,3.16227766,0,1,0,0,0,-61,
I-28,4.123105626,,,,0,0,NP,
J-28,5.099019514,1,0,0,0,0,-57,
K-28,6.08276253,1,0,0,0,0,-69,
L-28,7.071067812,1,0,0,0,0,-72,
M-28,8.062257748,1,0,0,0,0,-66,
N-28,9.055385138,0,1,0,0,0,-68,
O-28,10.04987562,0,1,0,0,0,-72,
P-28,11.04536102,,,,0,0,NP,
A-29,4,0,0,0,0,0,-57,
B-29,3,0,0,0,0,0,-58,
C-29,2,0,0,0,0,0,-49,
D-29,1,0,0,0,0,0,-41,
E-29,0,,,,0,0,NP,
F-29,1,0,1,0,0,0,-43,
G-29,2,0,1,0,0,0,-46,
H-29,3,0,1,0,0,0,-63,
I-29,4,1,1,0,0,0,-58,
J-29,5,1,1,0,0,0,-66,
K-29,6,1,1,0,0,0,-65,
L-29,7,1,1,0,0,0,-74,
M-29,8,1,1,0,0,0,-68,
N-29,9,,,,0,0,NP,
O-29,10,,,,0,0,NP,
P-29,11,,,,0,0,NP,
A-30,4.123105626,1,0,0,0,0,-65,
B-30,3.16227766,1,0,0,0,0,-61,
C-30,2.236067977,1,0,0,0,0,-58,
D-30,1.414213562,1,0,0,0,0,-59,
E-30,1,1,0,0,0,0,-59,
F-30,1.414213562,2,0,0,0,0,-58,
G-30,2.236067977,0,1,0,0,0,-52,
H-30,3.16227766,0,1,0,0,0,-75,
I-30,4.123105626,,,,0,0,NP,
J-30,5.099019514,1,1,0,0,0,-62,
K-30,6.08276253,2,1,0,0,0,-68,
L-30,7.071067812,1,2,0,0,0,-84,
M-30,8.062257748,1,2,0,0,0,-86,
N-30,9.055385138,,,,0,0,NP,
O-30,10.04987562,,,,0,0,NP,
P-30,11.04536102,,,,0,0,NP,
A-31,4.472135955,1,0,0,0,0,-58,
B-31,3.605551275,1,0,0,0,0,-64,
C-31,2.828427125,1,0,0,0,0,-58,
D-31,2.236067977,1,0,0,0,0,-55,
E-31,2,1,0,0,0,0,-59,
F-31,2.236067977,2,0,0,0,0,-60,
G-31,2.828427125,2,0,0,0,0,-65,
H-31,3.605551275,1,0,0,0,0,-55,
I-31,4.472135955,,,,0,0,NP,
J-31,5.385164807,1,1,0,0,0,-62,
K-31,6.32455532,1,1,0,0,0,-65,
L-31,7.280109889,1,2,0,0,0,-75,
M-31,8.246211251,1,2,0,0,0,-76,
N-31,9.219544457,,,,0,0,NP,
O-31,10.19803903,,,,0,0,NP,
P-31,11.18033989,,,,0,0,NP,
A-32,5,1,0,0,0,0,-60,
B-32,4.242640687,1,0,0,0,0,-57,
C-32,3.605551275,1,0,0,0,0,-53,
D-32,3.16227766,1,0,0,0,0,-62,
E-32,3,1,0,0,0,0,-60,
F-32,3.16227766,2,0,0,0,0,-64,
G-32,3.605551275,2,0,0,0,0,-63,
H-32,4.242640687,2,0,0,0,0,-61,
I-32,5,,,,0,0,NP,
J-32,5.830951895,2,0,0,0,0,-73,
K-32,6.708203932,2,0,0,0,0,-74,
L-32,7.615773106,1,2,0,0,0,-90,
M-32,8.544003745,1,2,0,0,0,-76,
N-32,9.486832981,,,,0,0,NP,
O-32,10.44030651,,,,0,0,NP,
P-32,11.40175425,,,,0,0,NP,
A-33,5.656854249,,,,0,0,NP,
B-33,5,,,,0,0,NP,
C-33,4.472135955,1,0,0,0,0,-60,
D-33,4.123105626,1,0,0,0,0,-69,
E-33,4,1,0,0,0,0,-70,
F-33,4.123105626,2,0,0,0,0,-72,
G-33,4.472135955,2,0,0,0,0,-65,
H-33,5,2,0,0,0,0,-63,
I-33,5.656854249,,,,0,0,NP,
J-33,6.403124237,3,0,0,0,0,-76,
K-33,7.211102551,2,0,0,0,0,-72,
L-33,8.062257748,1,2,0,0,0,-73,
M-33,8.94427191,1,2,0,0,0,-75,
N-33,9.848857802,,,,0,0,NP,
O-33,10.77032961,,,,0,0,NP,
P-33,11.70469991,,,,0,0,NP,
A-34,6.403124237,2,0,0,0,0,-73,
B-34,5.830951895,1,1,0,0,0,-72,
C-34,5.385164807,2,0,0,0,0,-73,
D-34,5.099019514,2,0,0,0,0,-64,
E-34,5,2,0,0,0,0,-70,
F-34,5.099019514,1,0,0,0,0,-81,
G-34,5.385164807,2,0,0,0,0,-68,
H-34,5.830951895,2,0,0,0,0,-66,
I-34,6.403124237,3,1,0,0,0,-70,
J-34,7.071067812,3,1,0,0,0,-73,
K-34,7.810249676,3,1,0,0,0,-75,
L-34,8.602325267,3,1,0,0,0,-75,
M-34,9.433981132,,,,0,0,NP,
N-34,10.29563014,,,,0,0,NP,
O-34,11.18033989,,,,0,0,NP,
P-34,12.08304597,,,,0,0,NP,
A-35,7.211102551,1,1,0,0,0,-85,
B-35,6.708203932,2,0,0,0,0,-79,
C-35,6.32455532,2,0,0,0,0,-75,
D-35,6.08276253,2,0,0,0,0,-82,
E-35,6,2,0,0,0,0,-71,
F-35,6.08276253,1,0,0,0,0,-70,
G-35,6.32455532,2,0,0,0,0,-68,
H-35,6.708203932,2,0,0,0,0,-68,
I-35,7.211102551,2,1,0,0,0,-71,
J-35,7.810249676,3,1,1,0,0,-75,
K-35,8.485281374,3,1,1,0,0,-72,
L-35,9.219544457,3,1,1,0,0,-74,
M-35,10,3,1,1,0,0,-77,
N-35,10.81665383,3,1,1,0,0,-77,
O-35,11.66190379,1,2,1,0,0,-85,
P-35,12.52996409,1,2,1,0,0,-91,
A-36,8.062257748,1,1,0,0,0,-69,
B-36,7.615773106,2,0,0,0,0,-77,
C-36,7.280109889,2,0,0,0,0,-65,
D-36,7.071067812,2,0,0,0,0,-72,
E-36,7,2,0,0,0,0,-80,
F-36,7.071067812,3,0,0,0,0,-77,
G-36,7.280109889,2,0,0,0,0,-75,
