Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
H-12,9.771,0,0,0,1,1,-68,
I-12,8.6762,0,0,0,1,1,-74,
J-12,7.665,0,0,0,1,0,-60,
K-12,6.775,0,0,0,1,0,-71,
L-12,6.0597,0,0,0,1,0,-61,
M-12,5.5868,0,0,1,0,0,-60,
N-12,5.42,0,0,1,0,1,-60,
O-12,5.5868,0,0,1,0,1,-62,
P-12,6.0597,0,0,1,0,0,-58,
Q-12,6.775,0,0,1,0,0,-57,
R-12,7.665,0,0,0,1,0,-65,
S-12,8.6762,0,0,0,1,0,-66,
T-12,9.771,0,0,0,1,0,-65,
U-12,10.9244,0,0,0,2,1,-75,
V-12,12.1195,0,0,1,2,0,-67,
W-12,13.3452,,,,,,NP,
X-12,14.5938,,,,,,NP,
Y-12,15.8599,,,,,,NP,
A-13,18.078,0,0,0,1,0,-71,
B-13,16.7604,0,0,0,1,0,-74,
C-13,15.4494,0,0,0,1,0,-79,
D-13,14.1466,,,,,,NP,
E-13,12.8547,,,,,,NP,
F-13,11.5771,,,,,,NP,
G-13,10.3194,0,0,0,1,0,-63,
H-13,9.0896,0,0,0,1,0,-61,
I-13,7.9009,0,0,0,1,1,-82,
J-13,6.775,0,0,0,1,1,-77,
K-13,5.7488,0,0,0,1,0,-58,
L-13,4.8855,0,0,0,1,0,-61,
M-13,4.2849,0,0,1,0,0,-57,
N-13,4.065,0,0,1,0,0,-60,
O-13,4.2849,0,0,1,0,0,-63,
P-13,4.8855,0,0,1,0,0,-60,
Q-13,5.7488,0,0,0,1,0,-66,
R-13,6.775,0,0,0,1,0,-64,
S-13,7.9009,0,0,0,2,1,-72,
T-13,9.0896,0,0,0,2,0,-63,
U-13,10.3194,0,0,0,3,0,-71,
V-13,11.5771,0,0,0,3,0,-67,
W-13,12.8547,0,0,0,3,0,-66,
X-13,14.1466,,,,,,NP,
Y-13,15.4494,,,,,,NP,
A-14,17.8222,0,0,0,1,1,-82,
B-14,16.4843,0,0,0,1,1,-79,
C-14,15.1494,0,0,0,1,1,-86,
D-14,13.8183,,,,,,NP,
E-14,12.4925,,,,,,NP,
F-14,11.1736,,,,,,NP,
G-14,9.8645,,,,,,NP,
H-14,8.5698,0,0,0,1,0,-60,
I-14,7.2969,0,0,0,1,0,-57,
J-14,6.0597,0,0,0,1,0,-63,
K-14,4.8855,,,,,,NP,
L-14,3.8325,0,0,0,1,0,-55,
M-14,3.0299,0,0,0,1,0,-62,
N-14,2.71,0,0,1,0,0,-49,
O-14,3.0299,0,0,1,0,0,-53,
P-14,3.8325,0,0,0,1,0,-70,
Q-14,4.8855,0,0,0,1,0,-61,
R-14,6.0597,0,0,1,1,0,-63,
S-14,7.2969,0,0,1,2,0,-63,
T-14,8.5698,0,0,0,3,0,-61,
U-14,9.8645,0,0,0,3,0,-69,
V-14,11.1736,0,0,0,3,0,-70,
W-14,12.4925,0,0,0,3,0,-66,
X-14,13.8183,,,,,,NP,
Y-14,15.1494,,,,,,NP,
A-15,17.667,0,0,0,1,0,-66,
B-15,16.3164,0,0,0,1,0,-68,
C-15,14.9665,0,0,0,1,0,-63,
D-15,13.6176,,,,,,NP,
E-15,12.27,0,0,0,1,0,-66,
F-15,10.9244,0,0,0,1,0,-69,
G-15,9.5813,0,0,0,1,0,-69,
H-15,8.2421,0,0,0,1,0,-68,
I-15,6.9092,0,0,0,1,0,-69,
J-15,5.5868,0,0,0,1,0,-74,
K-15,4.2849,0,0,0,1,0,-51,
L-15,3.0299,0,0,0,1,0,-55,
M-15,1.9163,0,0,0,1,0,-62,
N-15,1.355,0,0,1,0,0,-49,
O-15,1.9163,0,0,0,0,0,-44,
P-15,3.0299,0,0,0,1,0,-51,
Q-15,4.2849,0,0,0,1,0,-53,
R-15,5.5868,,,,,,NP,
S-15,6.9092,0,0,0,2,0,-58,
T-15,8.2421,0,0,0,2,0,-55,
U-15,9.5813,0,0,0,2,0,-55,
V-15,10.9244,0,0,0,2,0,-58,
W-15,12.27,0,0,0,2,0,-59,
X-15,13.6176,,,,,,NP,
Y-15,14.9665,,,,,,NP,
A-16,17.615,,,,,,NP,
B-16,16.26,1,0,0,1,0,-70,
C-16,14.905,1,0,0,1,0,-65,
D-16,13.55,1,0,0,1,0,-69,
E-16,12.195,1,0,0,1,0,-63,
F-16,10.84,1,0,0,1,0,-77,
G-16,9.485,1,0,0,1,0,-70,
H-16,8.13,,,,,,NP,
I-16,6.775,1,0,0,1,0,-70,
J-16,5.42,,,,,,NP,
K-16,4.065,,,,,,NP,
L-16,2.71,0,0,0,1,0,-57,
M-16,1.355,,,,,,NP,
N-16,0,,,,,,NP,
O-16,1.355,0,0,0,0,0,-43,
P-16,2.71,0,0,0,1,0,-48,
Q-16,4.065,0,0,0,1,0,-55,
R-16,5.42,0,0,0,2,0,-63,
S-16,6.775,0,0,0,2,0,-56,
T-16,8.13,0,0,0,3,0,-59,
U-16,9.485,0,0,0,3,0,-60,
V-16,10.84,0,0,0,3,0,-64,
W-16,12.195,0,0,0,3,0,-63,
X-16,13.55,,,,,,NP,
Y-16,14.905,,,,,,NP,
A-17,17.667,,,,,,NP,
B-17,16.3164,,,,,,NP,
C-17,14.9665,,,,,,NP,
D-17,13.6176,,,,,,NP,
E-17,12.27,,,,,,NP,
F-17,10.9244,,,,,,NP,
G-17,9.5813,,,,,,NP,
H-17,8.2421,,,,,,NP,
I-17,6.9092,,,,,,NP,
J-17,5.5868,,,,,,NP,
K-17,4.2849,,,,,,NP,
L-17,3.0299,,,,,,NP,
M-17,1.9163,0,0,0,1,0,-48,
N-17,1.355,0,0,0,0,0,-50,
O-17,1.9163,0,0,0,0,0,-47,
P-17,3.0299,0,0,0,1,0,-57,
Q-17,4.2849,0,0,0,1,0,-52,
R-17,5.5868,0,0,0,1,0,-56,
S-17,6.9092,0,0,0,2,0,-60,
T-17,8.2421,0,0,1,2,0,-63,
U-17,9.5813,0,0,1,2,0,-64,
V-17,10.9244,0,0,1,2,0,-68,
W-17,12.27,,,,,,NP,
X-17,13.6176,0,0,1,3,0,-62,
Y-17,14.9665,,,,,,NP,
A-18,17.8222,,,,,,NP,
B-18,16.4843,,,,,,NP,
C-18,15.1494,,,,,,NP,
D-18,13.8183,,,,,,NP,
E-18,12.4925,,,,,,NP,
F-18,11.1736,,,,,,NP,
G-18,9.8645,,,,,,NP,
H-18,8.5698,,,,,,NP,
I-18,7.2969,,,,,,NP,
J-18,6.0597,,,,,,NP,
K-18,4.8855,,,,,,NP,
L-18,3.8325,,,,,,NP,
M-18,3.0299,0,0,0,1,0,-57,
N-18,2.71,0,0,0,0,0,-44,
O-18,3.0299,0,0,0,0,0,-50,
