PL,P_ladrillo,P_madera,P_vidrio,P_Tablaroca,Columna,Distancia,h_Rx,h_Tx
96,3,0,0,0,0,12.08304597,1.5,1.5
76,1,0,0,0,0,5.656854249,1.5,1.5
76,1,0,0,0,0,5,1.5,1.5
70,1,0,0,0,0,4.472135955,1.5,1.5
75,1,0,0,0,0,4.123105626,1.5,1.5
75,1,0,0,0,0,4,1.5,1.5
76,2,0,0,0,0,4.123105626,1.5,1.5
81,1,0,0,0,0,4.472135955,1.5,1.5
80,1,0,0,0,0,5,1.5,1.5
80,2,0,0,0,0,6.403124237,1.5,1.5
97,3,0,0,0,0,7.211102551,1.5,1.5
83,3,0,0,0,0,8.062257748,1.5,1.5
87,3,0,0,0,0,8.94427191,1.5,1.5
84,2,0,0,0,0,9.848857802,1.5,1.5
85,2,0,0,0,0,10.77032961,1.5,1.5
91,2,0,0,0,0,11.70469991,1.5,1.5
74,1,0,0,0,0,3.16227766,1.5,1.5
68,1,0,0,0,0,3.605551275,1.5,1.5
68,1,0,0,0,0,4.242640687,1.5,1.5
85,3,0,0,0,0,6.708203932,1.5,1.5
92,3,0,0,0,0,7.615773106,1.5,1.5
95,2,1,0,0,0,10.44030651,1.5,1.5
92,2,1,0,0,0,11.40175425,1.5,1.5
67,0,0,0,0,0,4.472135955,1.5,1.5
63,0,0,0,0,0,3.605551275,1.5,1.5
68,0,0,0,0,0,2.828427125,1.5,1.5
60,0,0,0,0,0,2.236067977,1.5,1.5
57,0,0,0,0,0,2,1.5,1.5
76,1,0,0,0,0,2.236067977,1.5,1.5
77,1,0,0,0,0,2.828427125,1.5,1.5
70,1,0,0,0,0,3.605551275,1.5,1.5
75,2,0,0,0,0,4.472135955,1.5,1.5
72,1,1,0,0,0,5.385164807,1.5,1.5
76,1,1,0,0,0,7.280109889,1.5,1.5
76,0,1,0,0,0,8.246211251,1.5,1.5
82,0,1,1,0,0,9.219544457,1.5,1.5
78,0,1,1,0,0,10.19803903,1.5,1.5
66,0,0,0,0,0,4.123105626,1.5,1.5
61,0,0,0,0,0,3.16227766,1.5,1.5
65,0,0,0,0,0,2.236067977,1.5,1.5
56,0,0,0,0,0,1.414213562,1.5,1.5
53,0,0,0,0,0,1,1.5,1.5
57,1,0,0,0,0,1.414213562,1.5,1.5
62,1,0,0,0,0,2.236067977,1.5,1.5
71,0,1,0,0,0,3.16227766,1.5,1.5
67,1,0,0,0,0,5.099019514,1.5,1.5
79,1,0,0,0,0,6.08276253,1.5,1.5
82,1,0,0,0,0,7.071067812,1.5,1.5
76,1,0,0,0,0,8.062257748,1.5,1.5
78,0,1,0,0,0,9.055385138,1.5,1.5
82,0,1,0,0,0,10.04987562,1.5,1.5
67,0,0,0,0,0,4,1.5,1.5
68,0,0,0,0,0,3,1.5,1.5
59,0,0,0,0,0,2,1.5,1.5
51,0,0,0,0,0,1,1.5,1.5
53,0,1,0,0,0,1,1.5,1.5
56,0,1,0,0,0,2,1.5,1.5
73,0,1,0,0,0,3,1.5,1.5
68,1,1,0,0,0,4,1.5,1.5
76,1,1,0,0,0,5,1.5,1.5
75,1,1,0,0,0,6,1.5,1.5
84,1,1,0,0,0,7,1.5,1.5
78,1,1,0,0,0,8,1.5,1.5
75,1,0,0,0,0,4.123105626,1.5,1.5
71,1,0,0,0,0,3.16227766,1.5,1.5
68,1,0,0,0,0,2.236067977,1.5,1.5
69,1,0,0,0,0,1.414213562,1.5,1.5
69,1,0,0,0,0,1,1.5,1.5
68,2,0,0,0,0,1.414213562,1.5,1.5
62,0,1,0,0,0,2.236067977,1.5,1.5
85,0,1,0,0,0,3.16227766,1.5,1.5
72,1,1,0,0,0,5.099019514,1.5,1.5
78,2,1,0,0,0,6.08276253,1.5,1.5
94,1,2,0,0,0,7.071067812,1.5,1.5
96,1,2,0,0,0,8.062257748,1.5,1.5
68,1,0,0,0,0,4.472135955,1.5,1.5
74,1,0,0,0,0,3.605551275,1.5,1.5
68,1,0,0,0,0,2.828427125,1.5,1.5
65,1,0,0,0,0,2.236067977,1.5,1.5
69,1,0,0,0,0,2,1.5,1.5
70,2,0,0,0,0,2.236067977,1.5,1.5
75,2,0,0,0,0,2.828427125,1.5,1.5
65,1,0,0,0,0,3.605551275,1.5,1.5
72,1,1,0,0,0,5.385164807,1.5,1.5
75,1,1,0,0,0,6.32455532,1.5,1.5
85,1,2,0,0,0,7.280109889,1.5,1.5
86,1,2,0,0,0,8.246211251,1.5,1.5
70,1,0,0,0,0,5,1.5,1.5
67,1,0,0,0,0,4.242640687,1.5,1.5
63,1,0,0,0,0,3.605551275,1.5,1.5
72,1,0,0,0,0,3.16227766,1.5,1.5
70,1,0,0,0,0,3,1.5,1.5
74,2,0,0,0,0,3.16227766,1.5,1.5
73,2,0,0,0,0,3.605551275,1.5,1.5
71,2,0,0,0,0,4.242640687,1.5,1.5
83,2,0,0,0,0,5.830951895,1.5,1.5
84,2,0,0,0,0,6.708203932,1.5,1.5
100,1,2,0,0,0,7.615773106,1.5,1.5
86,1,2,0,0,0,8.544003745,1.5,1.5
70,1,0,0,0,0,4.472135955,1.5,1.5
79,1,0,0,0,0,4.123105626,1.5,1.5
80,1,0,0,0,0,4,1.5,1.5
82,2,0,0,0,0,4.123105626,1.5,1.5
75,2,0,0,0,0,4.472135955,1.5,1.5
73,2,0,0,0,0,5,1.5,1.5
86,3,0,0,0,0,6.403124237,1.5,1.5
82,2,0,0,0,0,7.211102551,1.5,1.5
83,1,2,0,0,0,8.062257748,1.5,1.5
85,1,2,0,0,0,8.94427191,1.5,1.5
83,2,0,0,0,0,6.403124237,1.5,1.5
82,1,1,0,0,0,5.830951895,1.5,1.5
83,2,0,0,0,0,5.385164807,1.5,1.5
74,2,0,0,0,0,5.099019514,1.5,1.5
80,2,0,0,0,0,5,1.5,1.5
91,1,0,0,0,0,5.099019514,1.5,1.5
78,2,0,0,0,0,5.385164807,1.5,1.5
76,2,0,0,0,0,5.830951895,1.5,1.5
80,3,1,0,0,0,6.403124237,1.5,1.5
83,3,1,0,0,0,7.071067812,1.5,1.5
85,3,1,0,0,0,7.810249676,1.5,1.5
85,3,1,0,0,0,8.602325267,1.5,1.5
95,1,1,0,0,0,7.211102551,1.5,1.5
89,2,0,0,0,0,6.708203932,1.5,1.5
85,2,0,0,0,0,6.32455532,1.5,1.5
92,2,0,0,0,0,6.08276253,1.5,1.5
81,2,0,0,0,0,6,1.5,1.5
80,1,0,0,0,0,6.08276253,1.5,1.5
78,2,0,0,0,0,6.32455532,1.5,1.5
78,2,0,0,0,0,6.708203932,1.5,1.5
81,2,1,0,0,0,7.211102551,1.5,1.5
85,3,1,1,0,0,7.810249676,1.5,1.5
82,3,1,1,0,0,8.485281374,1.5,1.5
84,3,1,1,0,0,9.219544457,1.5,1.5
87,3,1,1,0,0,10,1.5,1.5
87,3,1,1,0,0,10.81665383,1.5,1.5
95,1,2,1,0,0,11.66190379,1.5,1.5
101,1,2,1,0,0,12.52996409,1.5,1.5
79,1,1,0,0,0,8.062257748,1.5,1.5
87,2,0,0,0,0,7.615773106,1.5,1.5
75,2,0,0,0,0,7.280109889,1.5,1.5
82,2,0,0,0,0,7.071067812,1.5,1.5
90,2,0,0,0,0,7,1.5,1.5
87,3,0,0,0,0,7.071067812,1.5,1.5
85,2,0,0,0,0,7.280109889,1.5,1.5
79,2,0,0,0,0,7.615773106,1.5,1.5
103,3,0,0,0,0,8.062257748,1.5,1.5
93,2,0,0,0,0,8.602325267,1.5,1.5
86,3,1,1,0,0,9.219544457,1.5,1.5
91,3,1,1,0,0,9.899494937,1.5,1.5
87,3,1,1,0,0,10.63014581,1.5,1.5
94,3,1,1,0,0,11.40175425,1.5,1.5
91,1,2,1,0,0,12.20655562,1.5,1.5
89,3,0,0,0,0,8.94427191,1.5,1.5
86,3,0,0,0,0,8.544003745,1.5,1.5
92,3,0,0,0,0,8.062257748,1.5,1.5
97,3,0,0,0,0,8,1.5,1.5
87,3,0,0,0,0,8.062257748,1.5,1.5
81,2,0,0,0,0,8.246211251,1.5,1.5
83,2,0,0,0,0,8.544003745,1.5,1.5
95,2,0,0,0,0,10,1.5,1.5
91,3,1,1,0,0,10.63014581,1.5,1.5
91,3,1,1,0,0,11.3137085,1.5,1.5
85,3,1,1,0,0,12.04159458,1.5,1.5
90,3,1,1,0,0,12.80624847,1.5,1.5
91,2,1,1,0,0,13.60147051,1.5,1.5
84,3,0,0,0,0,9.848857802,1.5,1.5
78,3,0,0,0,0,9.486832981,1.5,1.5
90,3,0,0,0,0,9.219544457,1.5,1.5
92,3,0,0,0,0,9.055385138,1.5,1.5
85,3,0,0,0,0,9,1.5,1.5
81,3,0,0,0,0,9.055385138,1.5,1.5
94,2,0,0,0,0,9.219544457,1.5,1.5
82,2,0,0,0,0,9.486832981,1.5,1.5
98,4,0,0,0,0,9.848857802,1.5,1.5
90,4,0,0,0,0,10.29563014,1.5,1.5
100,4,0,0,0,0,10.81665383,1.5,1.5
97,3,2,0,0,0,11.40175425,1.5,1.5
100,4,1,1,0,0,12.04159458,1.5,1.5
103,4,1,1,0,0,12.72792206,1.5,1.5
98,4,1,1,0,0,13.45362405,1.5,1.5
97,4,1,1,0,0,14.2126704,1.5,1.5
89,3,0,0,0,0,10.77032961,1.5,1.5
81,3,0,0,0,0,10.44030651,1.5,1.5
85,3,0,0,0,0,10.19803903,1.5,1.5
100,3,0,0,0,0,10.04987562,1.5,1.5
96,3,0,0,0,0,10,1.5,1.5
89,3,0,0,0,0,10.04987562,1.5,1.5
80,2,0,0,0,0,10.19803903,1.5,1.5
88,2,0,0,0,0,10.44030651,1.5,1.5
92,4,0,0,0,0,10.77032961,1.5,1.5
96,4,0,0,0,0,11.18033989,1.5,1.5
92,4,0,0,0,0,11.66190379,1.5,1.5
103,3,2,0,0,0,12.20655562,1.5,1.5
98,3,2,0,0,0,12.80624847,1.5,1.5
98,4,1,1,0,0,13.45362405,1.5,1.5
106,4,1,1,0,0,14.14213562,1.5,1.5
97,4,1,1,0,0,14.86606875,1.5,1.5
92,3,0,0,0,0,11.70469991,1.5,1.5
89,3,0,0,0,0,11.40175425,1.5,1.5
88,3,0,0,0,0,11.18033989,1.5,1.5
87,3,0,0,0,0,11.04536102,1.5,1.5
99,3,0,0,0,0,11,1.5,1.5
91,3,0,0,0,0,11.04536102,1.5,1.5
83,1,0,0,0,0,11.18033989,1.5,1.5
87,2,0,0,0,0,11.40175425,1.5,1.5
98,3,0,0,0,0,11.70469991,1.5,1.5
91,4,0,0,0,0,12.08304597,1.5,1.5
94,4,0,0,0,0,12.52996409,1.5,1.5
94,2,2,0,0,0,13.03840481,1.5,1.5
93,2,2,0,0,0,13.60147051,1.5,1.5
97,4,1,1,0,0,14.2126704,1.5,1.5
98,4,1,1,0,0,14.86606875,1.5,1.5
97,4,0,0,0,0,12.64911064,1.5,1.5
103,4,0,0,0,0,12.36931688,1.5,1.5
96,4,0,0,0,0,12.16552506,1.5,1.5
98,4,0,0,0,0,12.04159458,1.5,1.5
97,4,0,0,0,0,12,1.5,1.5
83,3,0,0,0,0,12.04159458,1.5,1.5
90,3,0,0,0,0,12.16552506,1.5,1.5
92,2,0,0,0,0,12.36931688,1.5,1.5
99,3,0,0,0,0,12.64911064,1.5,1.5
108,4,0,0,0,0,13,1.5,1.5
94,4,0,0,0,0,13.41640786,1.5,1.5
104,4,0,0,0,0,13.89244399,1.5,1.5
95,3,2,0,0,0,14.4222051,1.5,1.5
98,3,2,0,0,0,15,1.5,1.5
97,4,1,1,0,0,15.62049935,1.5,1.5
92,4,0,0,0,0,13.60147051,1.5,1.5
98,4,0,0,0,0,13.34166406,1.5,1.5
105,4,0,0,0,0,13.15294644,1.5,1.5
98,4,0,0,0,0,13.03840481,1.5,1.5
100,4,0,0,0,0,13,1.5,1.5
95,4,0,0,0,0,13.03840481,1.5,1.5
84,1,0,0,0,0,13.15294644,1.5,1.5
87,1,0,0,0,0,13.34166406,1.5,1.5
103,4,0,0,0,0,13.92838828,1.5,1.5
92,4,0,0,0,0,14.31782106,1.5,1.5
